date,year,month,day,date_type,line_name,station_name,daily_in_passengers,daily_out_passengers,daily_total_passengers
2026-04-01,2026,4,1,평일,2호선,홍대입구역,73700,77510,151210
2026-04-01,2026,4,1,평일,경의중앙선,홍대입구역,2248,2595,4843
2026-04-01,2026,4,1,평일,공항철도,홍대입구역,16047,15760,31807
2026-04-02,2026,4,2,평일,2호선,홍대입구역,78603,82577,161180
2026-04-02,2026,4,2,평일,경의중앙선,홍대입구역,2411,2723,5134
2026-04-02,2026,4,2,평일,공항철도,홍대입구역,17206,16567,33773
2026-04-03,2026,4,3,평일,2호선,홍대입구역,87730,96404,184134
2026-04-03,2026,4,3,평일,경의중앙선,홍대입구역,2819,3375,6194
2026-04-03,2026,4,3,평일,공항철도,홍대입구역,20317,19643,39960
2026-04-04,2026,4,4,주말,2호선,홍대입구역,96426,107202,203628
2026-04-04,2026,4,4,주말,경의중앙선,홍대입구역,3423,4025,7448
2026-04-04,2026,4,4,주말,공항철도,홍대입구역,25876,23464,49340
2026-04-05,2026,4,5,주말,2호선,홍대입구역,81083,81363,162446
2026-04-05,2026,4,5,주말,경의중앙선,홍대입구역,2918,3415,6333
2026-04-05,2026,4,5,주말,공항철도,홍대입구역,22363,18447,40810
2026-04-06,2026,4,6,평일,2호선,홍대입구역,76392,78718,155110
2026-04-06,2026,4,6,평일,경의중앙선,홍대입구역,2330,2693,5023
2026-04-06,2026,4,6,평일,공항철도,홍대입구역,17528,16114,33642
2026-04-07,2026,4,7,평일,2호선,홍대입구역,75958,78464,154422
2026-04-07,2026,4,7,평일,경의중앙선,홍대입구역,2144,2497,4641
2026-04-07,2026,4,7,평일,공항철도,홍대입구역,16502,14969,31471
2026-04-08,2026,4,8,평일,2호선,홍대입구역,76513,79873,156386
2026-04-08,2026,4,8,평일,경의중앙선,홍대입구역,2534,2779,5313
2026-04-08,2026,4,8,평일,공항철도,홍대입구역,16783,16132,32915
2026-04-09,2026,4,9,평일,2호선,홍대입구역,70106,73322,143428
2026-04-09,2026,4,9,평일,경의중앙선,홍대입구역,2158,2595,4753
2026-04-09,2026,4,9,평일,공항철도,홍대입구역,14703,14512,29215
2026-04-10,2026,4,10,평일,2호선,홍대입구역,84500,93939,178439
2026-04-10,2026,4,10,평일,경의중앙선,홍대입구역,2992,3370,6362
2026-04-10,2026,4,10,평일,공항철도,홍대입구역,19016,18102,37118
2026-04-11,2026,4,11,주말,2호선,홍대입구역,95415,105828,201243
2026-04-11,2026,4,11,주말,경의중앙선,홍대입구역,3517,4283,7800
2026-04-11,2026,4,11,주말,공항철도,홍대입구역,23728,21465,45193
2026-04-12,2026,4,12,주말,2호선,홍대입구역,73243,74638,147881
2026-04-12,2026,4,12,주말,경의중앙선,홍대입구역,3074,3485,6559
2026-04-12,2026,4,12,주말,공항철도,홍대입구역,19564,16124,35688
2026-04-13,2026,4,13,평일,2호선,홍대입구역,71846,75037,146883
2026-04-13,2026,4,13,평일,경의중앙선,홍대입구역,2177,2582,4759
2026-04-13,2026,4,13,평일,공항철도,홍대입구역,16955,15042,31997
2026-04-14,2026,4,14,평일,2호선,홍대입구역,71537,74291,145828
