사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20260401,2호선,홍대입구,73700,77510,20260404
20260401,경의선,홍대입구,2248,2595,20260404
20260401,공항철도 1호선,홍대입구,16047,15760,20260404
20260402,2호선,홍대입구,78603,82577,20260405
20260402,경의선,홍대입구,2411,2723,20260405
20260402,공항철도 1호선,홍대입구,17206,16567,20260405
20260403,2호선,홍대입구,87730,96404,20260406
20260403,경의선,홍대입구,2819,3375,20260406
20260403,공항철도 1호선,홍대입구,20317,19643,20260406
20260404,2호선,홍대입구,96426,107202,20260407
20260404,경의선,홍대입구,3423,4025,20260407
20260404,공항철도 1호선,홍대입구,25876,23464,20260407
20260405,2호선,홍대입구,81083,81363,20260408
20260405,경의선,홍대입구,2918,3415,20260408
20260405,공항철도 1호선,홍대입구,22363,18447,20260408
20260406,2호선,홍대입구,76392,78718,20260409
20260406,경의선,홍대입구,2330,2693,20260409
20260406,공항철도 1호선,홍대입구,17528,16114,20260409
20260407,2호선,홍대입구,75958,78464,20260410
20260407,경의선,홍대입구,2144,2497,20260410
20260407,공항철도 1호선,홍대입구,16502,14969,20260410
20260408,2호선,홍대입구,76513,79873,20260411
20260408,경의선,홍대입구,2534,2779,20260411
20260408,공항철도 1호선,홍대입구,16783,16132,20260411
20260409,2호선,홍대입구,70106,73322,20260412
20260409,경의선,홍대입구,2158,2595,20260412
20260409,공항철도 1호선,홍대입구,14703,14512,20260412
20260410,2호선,홍대입구,84500,93939,20260413
20260410,경의선,홍대입구,2992,3370,20260413
20260410,공항철도 1호선,홍대입구,19016,18102,20260413
20260411,2호선,홍대입구,95415,105828,20260414
20260411,경의선,홍대입구,3517,4283,20260414
20260411,공항철도 1호선,홍대입구,23728,21465,20260414
20260412,2호선,홍대입구,73243,74638,20260415
20260412,경의선,홍대입구,3074,3485,20260415
20260412,공항철도 1호선,홍대입구,19564,16124,20260415
20260413,2호선,홍대입구,71846,75037,20260416
20260413,경의선,홍대입구,2177,2582,20260416
20260413,공항철도 1호선,홍대입구,16955,15042,20260416
20260414,2호선,홍대입구,71537,74291,20260417
20260414,경의선,홍대입구,2134,2473,20260417
20260414,공항철도 1호선,홍대입구,15220,14418,20260417
20260415,2호선,홍대입구,70728,74028,20260418
20260415,경의선,홍대입구,2249,2496,20260418
20260415,공항철도 1호선,홍대입구,15312,14575,20260418
20260416,2호선,홍대입구,73318,77418,20260419
20260416,경의선,홍대입구,2241,2483,20260419
20260416,공항철도 1호선,홍대입구,16107,15629,20260419
20260417,2호선,홍대입구,79578,86558,20260420
20260417,경의선,홍대입구,2429,3017,20260420
20260417,공항철도 1호선,홍대입구,18188,17491,20260420
20260418,2호선,홍대입구,89356,98647,20260421
20260418,경의선,홍대입구,3092,3614,20260421
20260418,공항철도 1호선,홍대입구,21855,21074,20260421
20260419,2호선,홍대입구,66841,68203,20260422
20260419,경의선,홍대입구,2326,2898,20260422
20260419,공항철도 1호선,홍대입구,18121,14850,20260422
20260420,2호선,홍대입구,67064,69940,20260423
20260420,경의선,홍대입구,1994,2395,20260423
20260420,공항철도 1호선,홍대입구,15201,13924,20260423
20260421,2호선,홍대입구,66714,69198,20260424
20260421,경의선,홍대입구,1992,2268,20260424
20260421,공항철도 1호선,홍대입구,14400,13525,20260424
20260422,2호선,홍대입구,67948,71120,20260425
20260422,경의선,홍대입구,2197,2497,20260425
20260422,공항철도 1호선,홍대입구,14616,13994,20260425
20260423,2호선,홍대입구,73393,77270,20260426
20260423,경의선,홍대입구,2202,2605,20260426
20260423,공항철도 1호선,홍대입구,15548,15202,20260426
20260424,2호선,홍대입구,82962,92496,20260427
20260424,경의선,홍대입구,2583,3112,20260427
20260424,공항철도 1호선,홍대입구,18343,17850,20260427
20260425,2호선,홍대입구,92264,102794,20260428
20260425,경의선,홍대입구,3228,4001,20260428
20260425,공항철도 1호선,홍대입구,21922,20899,20260428
20260426,2호선,홍대입구,71812,73768,20260429
20260426,경의선,홍대입구,2479,2878,20260429
20260426,공항철도 1호선,홍대입구,17810,15204,20260429
20260427,2호선,홍대입구,70288,73179,20260430
20260427,경의선,홍대입구,2080,2351,20260430
20260427,공항철도 1호선,홍대입구,15220,14053,20260430
20260428,2호선,홍대입구,73117,76488,20260501
20260428,경의선,홍대입구,2316,2718,20260501
20260428,공항철도 1호선,홍대입구,15607,14817,20260501
20260429,2호선,홍대입구,75806,79578,20260502
20260429,경의선,홍대입구,2485,2878,20260502
20260429,공항철도 1호선,홍대입구,15983,15616,20260502
20260430,2호선,홍대입구,86241,94753,20260503
20260430,경의선,홍대입구,2824,3230,20260503
20260430,공항철도 1호선,홍대입구,18178,18134,20260503
